ARID3A	ARNT	ATF2	ATF3	ATF4	ATF7	BACH1	BHLHE40	BRCA1	CBX5	CDC5L	CEBPB	CREB3L1	CTCF	CUX1	E2F1	E2F7	E2F8	E4F1	EGR1	ELF1	ELF4	ELK1	EP300	ESRRA	ETV6	EWSR1	FOXA1	FOXM1	GABPA	GATA1	GATA2	GMEB1	HES1	HMBOX1	IKZF1	IRF1	KLF16	MAFF	MAFK	MAX	MEF2A	MEIS2	MGA	MNT	MYBL2	MYC	NFE2	NFIC	NR2C2	NR2F1	NR2F2	NR2F6	NR3C1	NRF1	PKNOX1	POU5F1	REST	RFX1	RFX5	RUNX1	SP1	SREBF1	STAT1	STAT5A	TAL1	TBP	TCF12	TCF7	TCF7L2	TEAD4	THRA	YY1	ZBTB7A	ZNF143	ZNF282	ZNF384
MED25	0	2	1	0	0	2	0	2	0	0	0	3	0	1	0	3	0	3	3	3	3	2	0	1	2	0	0	0	0	1	0	0	1	0	1	2	2	0	0	0	6	0	2	0	3	0	0	0	5	0	0	0	0	1	2	3	0	1	5	0	0	1	1	0	0	1	2	1	0	1	2	0	2	2	2	1	2
PTOV1	0	0	1	1	0	3	1	1	0	0	0	0	2	1	0	2	0	1	2	4	0	0	0	0	2	0	0	0	0	0	0	0	3	1	2	3	2	1	1	1	3	0	0	2	3	0	1	4	3	0	0	0	0	0	2	4	0	1	0	0	1	2	1	0	0	0	2	0	0	1	3	0	0	2	1	1	0
PNKP	1	2	1	2	2	4	0	4	0	0	1	2	2	1	0	6	0	5	5	4	3	6	1	1	6	0	0	0	2	6	1	0	6	1	1	3	5	0	1	0	9	0	3	0	4	0	6	0	5	0	0	0	0	0	5	3	0	2	3	1	0	8	1	2	0	2	5	0	2	1	1	0	3	4	3	1	2
TBC1D17	1	2	1	2	2	4	0	5	0	0	2	2	2	0	0	6	0	5	5	4	3	6	1	1	6	0	0	0	2	7	1	0	6	1	1	3	4	0	2	0	8	0	3	0	4	0	6	2	4	0	0	0	0	0	5	5	0	2	3	1	0	7	1	2	0	2	5	0	1	1	1	0	3	4	3	1	1
AKT1S1	1	2	1	2	2	3	0	4	0	0	2	2	1	0	0	4	0	4	3	3	2	4	1	0	4	0	0	0	2	5	1	0	5	1	1	3	3	0	2	0	6	0	3	0	2	0	4	2	3	0	0	0	0	0	3	4	0	1	1	1	0	6	1	2	0	2	4	0	1	1	0	0	3	3	3	1	0
ATF5	0	3	0	5	2	4	0	2	0	0	1	2	3	1	0	1	0	4	0	2	0	0	0	3	4	0	0	0	0	0	2	0	1	0	2	5	2	0	0	0	6	0	1	2	2	1	3	0	2	0	5	0	0	0	1	2	1	3	1	0	0	3	0	0	0	1	3	0	1	0	4	0	1	3	2	2	6
IL4I1	0	3	0	5	2	4	0	2	0	0	1	2	3	1	0	1	0	4	0	3	0	0	0	3	4	0	0	0	0	0	2	0	1	0	2	5	2	0	0	0	6	0	1	2	2	1	3	0	2	0	5	0	0	0	1	2	1	3	1	0	0	3	0	0	0	1	3	0	1	0	4	0	1	3	2	2	6
NUP62	0	3	0	5	2	4	0	2	0	0	1	2	3	1	0	1	0	4	0	3	0	0	0	3	4	0	0	0	0	0	2	0	1	0	2	5	2	0	0	0	6	0	1	2	2	1	3	0	2	0	5	0	0	0	1	2	1	3	1	0	0	3	0	0	0	1	3	0	1	0	4	0	1	3	2	2	6
VRK3	1	0	1	1	0	2	0	1	0	0	0	1	2	1	0	2	0	2	2	2	2	1	1	0	1	0	0	0	0	1	0	0	2	0	0	2	1	0	0	0	1	0	1	1	3	0	2	1	1	0	1	0	0	0	1	1	2	0	2	1	0	1	0	2	1	0	2	0	0	1	1	0	0	1	2	0	0
ZNF473	1	0	1	1	0	2	0	1	0	0	0	1	2	1	0	2	0	2	2	2	2	1	1	0	1	0	0	0	0	1	0	0	2	0	0	2	1	0	0	0	1	0	1	1	3	0	2	1	1	0	1	0	0	0	1	1	2	0	2	1	0	1	0	2	1	0	2	0	0	1	1	0	0	1	2	0	0
MYH14	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNC3	0	2	2	1	3	4	1	2	0	0	2	2	3	1	0	1	1	2	2	6	3	2	1	0	2	0	0	0	1	3	0	0	4	1	0	4	4	0	0	1	5	0	3	5	4	0	4	0	2	0	5	1	3	1	6	3	0	7	1	0	1	6	1	0	0	0	1	1	2	0	0	0	1	5	2	0	1
NAPSA	1	5	2	5	5	9	1	3	0	1	0	5	2	2	0	5	2	3	7	5	5	5	2	3	5	0	0	0	1	1	0	0	5	1	0	7	5	3	0	0	8	0	5	9	7	0	4	1	4	0	5	3	1	0	6	5	0	3	2	1	1	2	1	1	1	2	4	4	0	0	4	0	2	3	4	3	2
NR1H2	1	2	0	1	4	7	0	5	0	1	0	5	1	1	0	2	4	2	7	5	2	2	3	1	7	0	0	0	2	1	0	0	6	1	0	6	6	2	0	1	11	0	3	6	9	0	4	0	6	1	6	1	1	0	3	3	0	2	2	0	1	4	0	4	3	2	4	3	1	1	3	0	2	4	2	2	3
POLD1	1	1	1	1	3	4	0	4	0	0	0	3	1	0	0	2	4	2	5	5	1	1	2	1	6	0	0	0	1	1	0	0	4	1	0	4	5	1	0	1	8	0	3	3	6	0	3	0	5	1	5	1	1	0	3	3	0	0	2	0	1	4	0	3	3	1	3	2	1	1	2	0	2	4	1	2	1
SPIB	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	2	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	2	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	1	1	0
MYBPC2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0
EMC10	0	0	1	2	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	2	0	0	2	2	0	1	2	0	0	0	1	2	0	0	2	0	0	1	2	1	1	1	1	0	2	0	0	0	0	2	0	0	0	0	0	1	2	2	1	0
FAM71E1	0	0	1	2	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	2	0	0	2	2	0	1	1	0	0	0	1	2	0	0	2	0	0	1	2	1	1	0	1	0	2	0	0	0	0	2	0	0	0	0	0	1	2	2	1	0
JOSD2	0	1	1	1	0	1	0	0	0	0	2	1	2	0	0	1	0	2	2	3	1	1	1	1	1	2	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	2	0	2	2	1	0	1	1	1	0	3	1	0	1	2	0	1	0	0	0	0	0	0	0	0	3	1	1	1
SYT3	0	1	0	1	2	2	0	0	0	0	0	1	2	1	0	0	0	0	1	2	1	2	0	0	1	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1	1	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	0	2
CLEC11A	0	0	0	0	0	3	0	3	0	1	0	0	3	3	0	1	0	1	1	3	0	1	0	1	2	0	0	0	0	2	0	0	5	0	0	3	3	1	0	0	4	0	2	5	3	0	4	1	3	0	3	1	0	0	4	1	0	4	1	0	0	3	0	0	0	2	2	0	1	0	3	0	0	4	2	1	1
C19orf48	0	1	1	1	1	1	0	2	0	0	2	2	1	2	0	2	1	2	2	0	1	4	0	0	0	0	2	0	1	1	0	0	1	2	0	1	2	0	0	0	3	0	1	2	1	0	1	1	3	0	1	0	0	0	2	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	0	2	2	1	4	1
KLK1	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	2	2	0	0	0	0	0	1	0	2	0	0	4	3	1	0	0	3	0	0	3	0	0	1	0	0	0	0	0	0	0	3	1	0	0	1	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	1	4	0
KLK4	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
KLK5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLK6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KLK7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLK8	0	0	2	2	0	2	0	1	0	0	0	1	0	1	0	1	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	2	2	4	0	3	0	1	0	0	0	0	0	2	2	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	2	2	0	0
KLK9	0	0	2	2	0	2	0	1	0	0	0	2	0	2	0	1	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	4	0	1	1	2	0	3	0	1	0	0	0	0	0	2	2	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	4	0	1
KLK10	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2
KLK11	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
KLK12	0	0	2	1	1	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLK13	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	2	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0
CTU1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	2	0	1	3	2	1	1	1	0	1	0	0	0	0	1	0	0	2	0	0	1	1	0	0	1	4	0	2	2	2	0	1	0	0	0	0	0	0	0	1	3	1	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1
SIGLEC7	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	0	2	0	1	0	0	1	2	0	0	1	1	1	0	2	1	1	0	2	1	0	3	0	0	1	0	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0
CD33	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	1	1	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0
ETFB	0	2	0	0	0	2	2	1	0	1	1	2	2	1	0	0	0	2	3	3	1	1	0	0	3	0	0	0	0	1	0	0	3	0	1	3	2	0	0	0	4	0	1	4	4	0	4	0	1	0	2	2	1	1	4	4	0	1	2	0	0	3	0	0	0	1	2	1	0	0	0	0	1	6	0	1	0
CLDND2	0	2	0	0	0	2	2	1	0	1	1	2	2	1	0	0	0	2	3	3	1	1	0	0	3	0	0	0	0	1	0	0	3	0	1	3	2	0	0	0	4	0	1	4	4	0	4	0	1	0	2	2	1	1	4	4	0	1	2	0	0	3	0	0	0	1	2	1	0	0	0	0	1	6	0	1	0
NKG7	0	2	0	1	0	5	2	1	0	1	1	2	2	2	0	0	0	2	4	3	1	1	0	0	3	0	0	0	0	1	0	0	3	0	3	3	2	0	0	0	4	0	1	4	4	0	4	1	1	0	4	3	3	1	5	6	0	1	2	0	0	3	0	0	0	1	2	1	0	0	0	2	1	6	1	1	0
C19orf84	1	4	1	2	1	7	0	1	0	0	0	2	2	3	0	3	0	3	5	2	4	3	0	3	1	0	0	0	2	2	1	0	4	0	4	7	3	0	1	1	1	0	3	2	3	1	2	2	3	0	3	3	2	0	4	5	0	1	3	0	0	4	0	0	0	0	4	1	1	0	1	2	1	3	2	0	1
SIGLEC10	0	0	0	0	1	2	0	0	0	1	0	0	0	2	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	1	2	0	0	0	2	0	1	1	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1
SIGLEC8	2	0	0	0	1	2	0	3	0	0	0	0	2	0	1	0	0	2	3	2	2	3	0	1	3	1	0	0	3	2	1	1	2	0	2	4	0	1	0	1	2	0	1	1	1	0	3	1	1	1	1	0	1	0	3	2	0	1	1	0	1	1	0	0	0	3	2	3	1	0	1	0	0	1	1	0	0
SIGLEC12	0	1	0	0	2	1	0	0	0	0	0	3	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	4	1	1	0	0	2	0	1	2	3	0	1	0	1	0	6	3	4	0	0	1	0	2	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	2	0	1	2
SIGLEC6	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	2	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ZNF175	2	3	0	0	0	4	0	0	0	0	0	2	1	2	0	1	0	1	2	0	2	2	1	4	3	2	0	0	0	1	0	1	1	1	1	4	2	1	0	0	3	0	3	2	1	1	0	0	1	0	2	0	1	0	1	1	1	2	0	0	0	2	0	0	1	1	1	1	0	1	3	0	2	0	0	1	1
HAS1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FPR1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FPR2	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FPR3	1	3	0	2	2	5	0	3	0	0	0	4	1	2	1	0	0	0	6	0	1	5	0	5	1	0	0	0	5	1	2	2	6	4	1	5	1	3	1	1	3	0	5	5	2	1	2	3	4	0	5	3	4	0	3	8	1	0	2	0	0	0	0	0	2	6	2	7	0	0	4	0	1	1	1	1	4
ZNF577	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF649	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	2	1	0	0
ZNF613	0	3	0	0	0	2	0	1	0	1	0	1	1	1	0	2	0	0	1	1	2	2	2	0	2	0	0	0	1	1	0	0	2	0	0	2	2	1	0	0	1	0	0	2	2	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	1	2	0	2
ZNF350	0	0	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
ZNF615	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
ZNF614	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	2	0	1	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	2	0	1	4	2	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	2	0	0	2	1	0	1	0	0	0	0
ZNF432	0	0	1	0	0	3	0	1	0	0	0	0	2	0	0	4	0	1	2	1	1	2	0	0	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	2	0	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	2	1	0	0	0
ZNF841	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	2	0	2	1	2	0	0	0	3	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
ZNF616	0	0	0	0	1	1	0	1	0	0	0	1	2	1	0	2	0	1	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	2	0	2	1	2	0	2	0	0	0	0	0	2	0	1	2	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	2	2	0	2
ZNF836	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R1A	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	2	1	2	1	1	1	0	0	0	0	0	1	1	0	2	0	1	1	1	0	0	0	3	0	2	0	2	0	1	0	2	0	0	1	0	0	1	1	2	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	0	0	1
ZNF766	0	0	0	1	1	2	0	1	0	0	0	1	1	0	0	2	0	1	1	2	2	1	1	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ZNF480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ZNF610	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ZNF880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF528	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF808	0	0	1	2	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	2	2	0	0	1	0	0	0	0	1	0	0	1	0	0	2	1	0	1	1	2	0	0	0	1	0	1	0	3	0	1	0	0	0	2	0	0	1	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
ZNF701	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	2	0	2	2	0	1	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	1	1	2	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZNF83	0	1	1	1	0	2	0	0	0	0	0	3	2	0	0	0	0	0	1	3	1	1	0	0	1	0	0	0	0	1	0	1	4	0	1	3	1	1	0	0	5	0	2	5	0	0	1	0	1	0	2	1	0	0	2	2	0	2	0	0	1	1	0	0	1	1	1	1	0	0	2	0	0	3	0	0	1
ZNF611	0	2	1	1	0	2	0	1	0	1	0	0	0	1	0	2	0	2	2	1	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	3	0	1	4	2	0	1	0	0	0	0	0	0	1	3	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ZNF600	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZNF28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF468	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF320	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	2	0	2	0	0	0	2	1	0	0	0	0	0	2	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0
ZNF321P	0	1	0	4	3	2	0	1	0	1	0	1	2	0	1	3	1	1	3	2	3	2	0	1	1	0	0	0	1	1	0	1	2	1	0	5	2	1	1	1	4	0	2	2	2	0	2	1	4	0	2	1	0	0	2	4	0	1	0	0	0	1	0	0	1	1	1	3	1	0	2	0	0	1	1	1	0
ZNF816	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	2	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
ERVV-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZNF160	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	3	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
ZNF415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF347	0	1	1	0	1	1	0	0	0	1	0	2	1	1	0	0	0	0	2	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	2	1	1	0	0	3	0	1	2	0	0	0	2	1	0	1	1	1	0	3	2	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	2	0
ZNF665	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
ZNF677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF765	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
