gs_id	entrez
Other	25909
Other	191
Other	10768
Other	27245
Other	54806
Other	79026
Other	196
Other	10598
Other	130872
Other	51327
Other	199
Other	83543
Other	9131
Other	84883
Other	51390
Other	9447
Other	9255
Other	7965
Other	326
Other	84962
Other	203
Other	204
Other	205
Other	26289
Other	122481
Other	158067
Other	221264
Other	8165
Other	11216
Other	11215
Other	9590
Other	11214
Other	8227
Other	11217
Other	10566
Other	9495
Other	9465
Other	10270
Other	26993
Other	10142
Other	56672
Other	79647
Other	55122
Other	80709
Other	254268
Other	10327
Other	231
Other	1645
Other	1646
Other	83592
Other	8574
Other	84335
Other	10000
Other	64400
Other	210
Other	211
Other	212
Other	214
Other	126133
Other	5832
Other	216
Other	8854
Other	220
Other	219
Other	160428
Other	217
Other	218
Other	224
Other	8659
Other	7915
Other	4329
Other	501
Other	64577
Other	223
Other	226
Other	230
Other	56052
Other	84920
Other	144245
Other	440138
Other	79087
Other	79868
Other	199857
Other	10016
Other	10195
Other	29880
Other	29929
Other	79053
Other	79796
Other	238
Other	8846
Other	121642
Other	221120
Other	54784
Other	84964
Other	84266
Other	91801
Other	7840
Other	240
Other	241
Other	80216
Other	249
Other	57679
Other	259173
Other	8092
Other	257
Other	60529
Other	10189
Other	23600
Other	258
Other	55626
Other	262
Other	144193
Other	51005
Other	139285
Other	219287
Other	267
Other	269
Other	120425
Other	57463
Other	347902
Other	386724
Other	9949
Other	196394
Other	154796
Other	154810
Other	51421
Other	271
Other	272
Other	51321
Other	64682
Other	10393
Other	51529
Other	25847
Other	25906
Other	119504
Other	29882
Other	29945
Other	51433
Other	51434
Other	23357
Other	90806
Other	284
Other	285
Other	51378
Other	51129
Other	83854
Other	286
Other	287
Other	288
Other	63926
Other	51479
Other	56172
Other	54882
Other	404734
Other	54467
Other	126549
Other	23141
Other	51281
Other	57037
Other	57763
Other	27063
Other	55608
Other	29123
Other	23253
Other	88455
Other	124930
Other	81573
Other	54522
Other	26057
Other	253650
Other	441459
Other	26287
Other	22852
Other	84079
Other	23243
Other	147463
Other	256006
Other	84250
Other	283373
Other	284615
Other	375248
Other	400986
Other	353322
Other	51239
Other	91369
Other	338699
Other	91526
Other	339416
Other	157567
Other	54851
Other	57182
Other	129138
Other	79722
Other	22881
Other	342850
Other	23294
Other	124401
Other	203286
Other	54443
Other	55129
Other	203859
Other	196527
Other	57719
Other	338440
Other	8125
Other	10541
Other	81611
Other	290
Other	84168
Other	118429
Other	301
Other	311
Other	302
Other	389289
Other	306
Other	307
Other	308
Other	309
Other	310
Other	8416
Other	313
Other	3725
Other	55435
Other	162
Other	164
Other	8906
Other	8907
Other	1174
Other	8905
Other	130340
Other	160
Other	161
Other	163
Other	1173
Other	8546
Other	8943
Other	26985
Other	10947
Other	1176
Other	10239
Other	10717
Other	23431
Other	9179
Other	11154
Other	55745
Other	55317
Other	9907
Other	317
Other	320
Other	321
Other	9546
Other	322
Other	54518
Other	323
Other	10307
Other	324
Other	10297
Other	327
Other	27301
Other	51107
Other	83464
Other	8539
Other	51074
Other	378708
Other	100526739
Other	200558
Other	8862
Other	187
Other	333
Other	334
Other	57136
Other	128240
Other	336
Other	9582
Other	27350
Other	140564
Other	200316
Other	60489
Other	164668
Other	403314
Other	55911
Other	341
Other	344
Other	347
Other	348
Other	8542
Other	23780
Other	80830
Other	81575
Other	55937
Other	79135
Other	139322
Other	84334
Other	351
Other	10513
Other	26060
Other	54840
Other	358
Other	89872
Other	282679
Other	359
Other	360
Other	9716
Other	369
Other	116985
Other	116984
Other	64411
Other	9870
Other	375
Other	377
Other	378
Other	381
Other	382
Other	26286
Other	84364
Other	10565
Other	10564
Other	27236
Other	23647
Other	10139
Other	383
Other	384
Other	55082
Other	392
Other	57584
Other	9824
Other	94134
Other	55843
Other	55114
Other	93663
Other	84986
Other	57569
Other	58504
Other	57636
Other	83478
Other	9938
Other	23092
Other	201176
Other	79822
Other	9411
Other	257106
Other	57514
Other	115703
Other	80728
Other	393
Other	9912
Other	394
Other	395
Other	23779
Other	64333
Other	396
Other	397
Other	398
Other	9138
Other	9639
Other	55160
Other	27237
Other	9828
Other	23370
Other	128272
Other	9181
Other	115557
Other	26084
Other	50650
Other	389337
Other	84904
Other	9459
Other	8874
Other	23229
Other	8289
Other	57492
Other	196528
Other	1820
Other	10620
Other	5926
Other	51742
Other	10865
Other	84159
Other	25820
Other	10425
Other	400
Other	285598
Other	115761
Other	200894
Other	120534
Other	54622
Other	339231
Other	402
Other	23568
Other	403
Other	10124
Other	379
Other	26225
Other	221079
Other	23204
Other	51329
Other	10550
Other	151188
Other	127829
Other	55207
Other	132946
Other	55156
Other	83787
Other	84071
Other	219681
Other	55130
Other	79798
Other	93436
Other	79637
Other	25852
Other	80210
Other	51309
Other	51566
Other	64860
Other	54470
Other	405
